Date,Confirmed,Recovered,Deaths
2020-01-22,557,540,17
2020-01-23,657,639,18
2020-01-24,944,918,26
2020-01-25,1437,1395,42
2020-01-26,2120,2064,56
2020-01-27,2929,2847,82
2020-01-28,5580,5449,131
2020-01-29,6169,6036,133
2020-01-30,8237,8066,172
2020-01-31,9927,9713,214
2020-02-01,12038,11778,260
2020-02-02,16787,16423,364
2020-02-03,19887,19459,428
2020-02-04,23899,23405,494
2020-02-05,27644,27078,566
2020-02-06,30806,30170,636
2020-02-07,34400,33679,721
2020-02-08,37131,36323,808
2020-02-09,40162,39254,908
2020-02-10,42771,41756,1015
2020-02-11,44814,43699,1115
2020-02-12,45232,44112,1120
2020-02-13,60384,59011,1373
2020-02-14,66912,65387,1525
2020-02-15,69055,67387,1668
2020-02-16,71238,69466,1772
2020-02-17,73273,71403,1870
2020-02-18,75155,73145,2010
2020-02-19,75655,73530,2125
2020-02-20,76216,73966,2250
2020-02-21,76846,74592,2254
2020-02-22,78608,76146,2462
2020-02-23,78990,76517,2473
2020-02-24,79558,76925,2633
2020-02-25,80412,77699,2713
2020-02-26,81384,78610,2774
2020-02-27,82728,79911,2817
2020-02-28,84152,81276,2876
2020-02-29,86023,83077,2946
2020-03-01,88402,85402,3000
2020-03-02,90382,87292,3090
2020-03-03,92994,89830,3164
2020-03-04,95338,92078,3260
2020-03-05,98078,94723,3355
2020-03-06,102062,98593,3469
2020-03-07,106199,102626,3573
2020-03-08,109997,106182,3815
2020-03-09,114292,110283,4009
2020-03-10,119051,114767,4284
2020-03-11,126527,121891,4636
2020-03-12,133283,128326,4957
2020-03-13,146477,141018,5460
2020-03-14,157365,151479,5886
2020-03-15,168598,162041,6557
2020-03-16,183165,175897,7268
2020-03-17,198339,190220,8119
2020-03-18,215900,206825,9075
2020-03-19,242987,232770,10217
2020-03-20,272517,260726,11791
2020-03-21,304944,291345,13599
2020-03-22,339156,323729,15427
2020-03-23,381711,364188,17523
2020-03-24,423594,403645,19949
2020-03-25,475075,452155,22920
2020-03-26,535889,509716,26173
2020-03-27,599820,570008,29812
2020-03-28,669402,635541,33861
2020-03-29,725918,688238,37680
2020-03-30,790929,748879,42050
2020-03-31,869371,822153,47218
2020-04-01,955728,901866,53862
2020-04-02,1038176,978061,60115
2020-04-03,1122386,1055769,66617
2020-04-04,1182507,1109531,72976
2020-04-05,1254222,1175325,78897
2020-04-06,1328948,1243624,85324
2020-04-07,1397886,1304045,93841
2020-04-08,1480062,1379001,101061
2020-04-09,1567243,1458027,109216
2020-04-10,1653665,1536708,116957
2020-04-11,1729180,1605241,123939
2020-04-12,1847761,1717308,130453
2020-04-13,1919593,1782627,136966
2020-04-14,2004226,1859903,144323
2020-04-15,2082482,1929394,153088
2020-04-16,2176950,2016150,160800
2020-04-17,2264830,2095142,169688
2020-04-18,2343082,2166964,176118
2020-04-19,2419404,2237185,182219
2020-04-20,2495886,2307156,188730
2020-04-21,2571973,2376047,195926
2020-04-22,2654011,2450806,203205
2020-04-23,2736728,2526253,210475
2020-04-24,2820291,2602978,217313
2020-04-25,2903496,2680133,223363
2020-04-26,2974291,2746112,228179
2020-04-27,3045275,2811651,233624
2020-04-28,3121107,2880854,240253
2020-04-29,3198435,2951202,247233
2020-04-30,3282087,3028601,253486
2020-05-01,3371033,3111960,259073
2020-05-02,3449295,3184176,265119
2020-05-03,3523292,3253898,269394
2020-05-04,3600929,3326690,274239
2020-05-05,3680614,3400228,280386
2020-05-06,3771036,3483890,287146
2020-05-07,3860174,3567162,293012
2020-05-08,3950657,3651690,298967
2020-05-09,4035000,3731115,303885
2020-05-10,4110223,3802000,308223
2020-05-11,4186364,3874063,312301
2020-05-12,4271644,3953613,318031
2020-05-13,4355992,4032524,323468
2020-05-14,4451634,4122417,329217
2020-05-15,4547536,4212566,334970
2020-05-16,4641426,4301915,339511
2020-05-17,4719789,4376398,343391
2020-05-18,4808921,4461135,347786
2020-05-19,4904739,4551985,352754
2020-05-20,5010162,4652002,358160
2020-05-21,5116135,4752940,363195
2020-05-22,5223477,4854576,368901
2020-05-23,5327627,4954272,373355
2020-05-24,5420843,5044088,376755
2020-05-25,5509066,5130617,378449
2020-05-26,5601428,5218199,383229
2020-05-27,5703984,5315535,388449
2020-05-28,5823977,5430537,393440
2020-05-29,5945413,5546817,398596
2020-05-30,6080456,5677501,402955
2020-05-31,6183316,5777074,406242
2020-06-01,6283580,5873597,409983
2020-06-02,6406221,5990967,415254
2020-06-03,6517437,6096562,420875
2020-06-04,6655667,6229264,426403
2020-06-05,6789073,6357613,431460
2020-06-06,6918403,6482803,435600
2020-06-07,7029415,6590558,438857
2020-06-08,7132463,6689151,443312
2020-06-09,7258445,6810088,448357
2020-06-10,7395607,6941824,453783
2020-06-11,7531793,7072873,458920
2020-06-12,7659267,7195604,463663
2020-06-13,7793175,7325119,468056
2020-06-14,7925122,7453284,471838
2020-06-15,8050034,7574129,475905
2020-06-16,8193933,7710910,483023
2020-06-17,8337135,7848635,488500
2020-06-18,8480229,7986375,493854
2020-06-19,8661225,8161013,500212
2020-06-20,8847108,8342414,504694
2020-06-21,8940170,8430832,509338
2020-06-22,9082502,8569297,513205
2020-06-23,9250625,8731851,518774
2020-06-24,9422061,8897789,524272
2020-06-25,9601576,9072194,529382
2020-06-26,9794066,9259601,534465
2020-06-27,9970478,9431277,539201
2020-06-28,10138935,9596113,542822
2020-06-29,10291617,9744723,546894
2020-06-30,10475388,9923242,552146
2020-07-01,10690516,10133029,557487
2020-07-02,10895486,10332485,563001
2020-07-03,11098124,10529883,568241
2020-07-04,11287838,10714803,573035
2020-07-05,11474058,10897178,576880
2020-07-06,11642331,11061183,581148
2020-07-07,11851900,11264392,587508
2020-07-08,12067186,11474049,593137
2020-07-09,12291782,11692796,598986
2020-07-10,12524663,11919935,604728
2020-07-11,12737483,12127614,609869
2020-07-12,12930415,12316244,614171
2020-07-13,13124893,12506286,618607
2020-07-14,13345920,12721328,624592
2020-07-15,13575706,12945195,630511
2020-07-16,13820618,13183945,636673
2020-07-17,14058038,13414327,643711
2020-07-18,14293379,13643138,650241
2020-07-19,14505270,13850135,655135
2020-07-20,14713414,14054313,659101
2020-07-21,14956435,14290996,665439
2020-07-22,15231791,14558934,672857
2020-07-23,15511422,14831928,679494
2020-07-24,15794928,15108972,685956
2020-07-25,16044485,15352464,692021
2020-07-26,16256294,15559864,696430
2020-07-27,16490680,15788954,701726
2020-07-28,16754567,16045903,708664
2020-07-29,17024801,16309509,715292
2020-07-30,17306582,16584513,722069
2020-07-31,17594044,16865365,728679
2020-08-01,17840315,17105650,734665
2020-08-02,18070926,17331574,739352
2020-08-03,18276983,17532774,744209
2020-08-04,18542287,17790907,751380
2020-08-05,18817443,18058686,758757
2020-08-06,19104145,18338541,765604
2020-08-07,19386579,18614222,772357
2020-08-08,19651806,18873425,778381
2020-08-09,19884801,19101226,783575
2020-08-10,20118013,19329061,788952
2020-08-11,20383576,19588009,795567
2020-08-12,20658646,19856106,802540
2020-08-13,20948740,20139413,809327
2020-08-14,21255813,20439919,815894
2020-08-15,21504839,20682891,821948
2020-08-16,21714880,20888132,826748
2020-08-17,21927762,21096391,831371
2020-08-18,22187166,21348739,838427
2020-08-19,22464640,21619790,844850
2020-08-20,22736119,21884842,851277
2020-08-21,22998072,22141023,857049
2020-08-22,23261601,22398763,862838
2020-08-23,23464360,22597215,867145
2020-08-24,23692460,22820458,872002
2020-08-25,23937668,23059103,878565
2020-08-26,24219359,23334257,885102
2020-08-27,24506622,23615305,891317
2020-08-28,24790561,23893419,897142
2020-08-29,25051295,24148365,902930
2020-08-30,25271033,24363829,907204
2020-08-31,25535340,24623703,911637
2020-09-01,25802224,24883986,918238
2020-09-02,26084114,25159559,924555
2020-09-03,26369544,25438889,930655
2020-09-04,26671276,25734781,936495
2020-09-05,26944997,26003409,941588
2020-09-06,27173995,26228272,945723
2020-09-07,27391278,26435932,955346
2020-09-08,27637790,26677321,960469
2020-09-09,27923100,26956366,966734
2020-09-10,28227493,27254757,972736
2020-09-11,28543855,27565120,978735
2020-09-12,28832580,27848787,983793
2020-09-13,29081415,28093659,987756
2020-09-14,29348555,28356192,992363
2020-09-15,29629107,28630182,998925
2020-09-16,29934059,28929266,1004793
2020-09-17,30249632,29239191,1010441
2020-09-18,30576278,29559985,1016293
2020-09-19,30869397,29847831,1021566
2020-09-20,31124526,30098978,1025548
2020-09-21,31384435,30354459,1029976
2020-09-22,31668754,30632627,1036127
2020-09-23,31980407,30937729,1042678
2020-09-24,32301360,31253014,1048346
2020-09-25,32631974,31577611,1054363
2020-09-26,32918085,31858290,1059795
2020-09-27,33165079,32101399,1063680
2020-09-28,33426328,32358534,1067794
2020-09-29,33709128,32635286,1073842
2020-09-30,34033675,32953407,1080268
2020-10-01,34352787,33263625,1089162
2020-10-02,34682292,33587400,1094892
2020-10-03,34979647,33879971,1099676
2020-10-04,35240179,34136462,1103717
2020-10-05,35551524,34440718,1110806
2020-10-06,35867647,34750979,1116668
2020-10-07,36216841,35094252,1122589
2020-10-08,36576162,35447190,1128972
2020-10-09,36936565,35801413,1135152
2020-10-10,37292089,36152032,1140057
2020-10-11,37581583,36437331,1144252
2020-10-12,37871608,36723229,1148379
2020-10-13,38190980,37037252,1153728
2020-10-14,38571764,37411873,1159891
2020-10-15,38978760,37812660,1166100
2020-10-16,39389280,38216967,1172313
2020-10-17,39761413,38583373,1178040
2020-10-18,40092656,38910657,1181999
2020-10-19,40467606,39280765,1186841
2020-10-20,40856480,39663015,1193465
2020-10-21,41296091,40095723,1200368
2020-10-22,41778168,40571822,1206346
2020-10-23,42272069,41058619,1213450
2020-10-24,42728414,41509046,1219368
2020-10-25,43087247,41863514,1223733
2020-10-26,43570291,42340719,1229572
2020-10-27,44038754,42801796,1236958
2020-10-28,44560523,43316390,1244133
2020-10-29,45111898,43860528,1251370
2020-10-30,45683640,44424495,1259145
2020-10-31,46155745,44889929,1265816
2020-11-01,46594934,45323762,1271172
2020-11-02,47143303,45865674,1277629
2020-11-03,47708817,46421616,1287201
2020-11-04,48200961,46903867,1297094
2020-11-05,48820295,47514461,1305834
2020-11-06,49443478,48128488,1314990
2020-11-07,50042669,48719893,1322776
2020-11-08,50533518,49204341,1329177
2020-11-09,51043324,49706566,1336758
2020-11-10,51614069,50267536,1346533
2020-11-11,52238734,50881784,1356950
2020-11-12,52878929,51512264,1366665
